epsforward, epsback, muforward, muback
2.8546-0.014669i,2.8676-0.089835i,0.97739-0.0092666i,1.003+0.028433i
2.8582-0.013381i,2.8649-0.084166i,0.97597-0.0069289i,1.0045+0.026985i
2.8564-0.017197i,2.8705-0.087342i,0.97705-0.0041961i,1.0026+0.031814i
2.8546-0.014167i,2.8656-0.088041i,0.97667-0.0084718i,1.0022+0.02788i
2.859-0.01729i,2.8706-0.084074i,0.97631-0.0018419i,1.0022+0.032112i
2.8535-0.017541i,2.8704-0.09013i,0.97754-0.0058234i,1.0005+0.030863i
2.8565-0.014837i,2.869-0.08586i,0.97705-0.0062i,1.0012+0.028249i
2.8567-0.01747i,2.8723-0.086531i,0.97725-0.0042235i,1.0023+0.030846i
2.8536-0.012789i,2.8688-0.089196i,0.9787-0.0080265i,1.0023+0.028822i
2.8574-0.014039i,2.8721-0.084254i,0.97841-0.0042857i,1.0041+0.031383i
2.8522-0.0099738i,2.8698-0.089988i,0.98007-0.008871i,1.0047+0.029238i
2.8552-0.0084585i,2.8689-0.085507i,0.97851-0.0069087i,1.0046+0.029447i
2.8555-0.013971i,2.8764-0.087769i,0.97743-0.0045435i,1.0021+0.033177i
2.8523-0.0069868i,2.8688-0.089568i,0.97898-0.0099083i,1.0044+0.028358i
2.8554-0.0087326i,2.8735-0.082923i,0.97891-0.0025206i,1.0044+0.034588i
2.8503-0.012541i,2.8774-0.091747i,0.97922-0.0052077i,0.9994+0.035042i
2.8545-0.010522i,2.8718-0.087287i,0.97737-0.0068979i,1.0007+0.029533i
2.8551-0.012543i,2.8787-0.085052i,0.97947-0.00054521i,1.0022+0.037186i
2.8481-0.011589i,2.8755-0.091513i,0.98052-0.0054623i,0.99947+0.035111i
2.8537-0.012911i,2.8754-0.085156i,0.97872-0.0034111i,1.0005+0.032937i
2.8478-0.0090399i,2.8747-0.088216i,0.98234-0.0052071i,1.0042+0.034119i
2.8474-0.0053097i,2.8737-0.087984i,0.98252-0.0063234i,1.0037+0.034101i
2.8514-0.010312i,2.8787-0.087068i,0.98041-0.0045506i,1.0028+0.034489i
2.8472-0.0021568i,2.8713-0.090139i,0.98377-0.0099724i,1.007+0.030598i
2.8497+0.001014i,2.8751-0.084125i,0.98389-0.0053767i,1.0085+0.035432i
2.8473-0.0053469i,2.8805-0.09164i,0.98209-0.0067754i,1.0042+0.035854i
2.8505+0.00030788i,2.871-0.088751i,0.98166-0.010988i,1.0065+0.029108i
2.852+0.00090072i,2.8815-0.0832i,0.98408-0.00318i,1.0089+0.038353i
2.846-0.0016784i,2.881-0.094458i,0.98309-0.0075262i,1.0031+0.037201i
2.8525-0.0040972i,2.8779-0.086952i,0.98004-0.0069051i,1.0027+0.032085i
2.8497-0.00073874i,2.8834-0.087335i,0.98521-0.0044421i,1.0066+0.037651i
2.8451+0.001636i,2.8797-0.091815i,0.98406-0.0075753i,1.0047+0.037542i
2.8512-0.0062143i,2.8846-0.08748i,0.98126-0.0038831i,1.0019+0.036882i
2.8461+0.00011379i,2.8826-0.093102i,0.98563-0.0078327i,1.0055+0.036145i
2.8461+0.005309i,2.8813-0.089724i,0.98537-0.0070757i,1.0076+0.038468i
2.8463-0.0035493i,2.8869-0.090874i,0.98286-0.0047592i,1.0034+0.039289i
2.8462+0.0019423i,2.8806-0.094397i,0.98507-0.010524i,1.0056+0.033626i
2.8486+0.0068187i,2.8841-0.08879i,0.9861-0.0074132i,1.0102+0.038078i
2.8434+0.0028812i,2.8863-0.0982i,0.98518-0.0091521i,1.006+0.038452i
2.8487+0.0022729i,2.8809-0.09617i,0.98313-0.011585i,1.0062+0.032452i
2.8487+0.0065256i,2.8861-0.092914i,0.98669-0.0087034i,1.0118+0.036947i
2.8433+0.010526i,2.8822-0.10017i,0.98693-0.012836i,1.0104+0.03621i
2.8507+0.0042211i,2.8837-0.094443i,0.98279-0.010451i,1.0073+0.033433i
2.8477+0.0075052i,2.8853-0.097242i,0.98631-0.011276i,1.0106+0.034403i
2.8458+0.014387i,2.8795-0.096909i,0.9869-0.013532i,1.0125+0.033848i
2.8494+0.0065123i,2.8874-0.093733i,0.98442-0.0087237i,1.0084+0.036178i
2.8466+0.0084325i,2.8845-0.10097i,0.98576-0.012846i,1.0086+0.033778i
2.8486+0.013603i,2.8822-0.095233i,0.98597-0.012248i,1.0125+0.033884i
2.8456+0.0098812i,2.8897-0.097008i,0.98579-0.0093535i,1.009+0.038046i
2.8467+0.0094555i,2.8833-0.10219i,0.98453-0.013648i,1.0077+0.033569i
2.8496+0.010352i,2.8872-0.095145i,0.98592-0.010179i,1.0109+0.035081i
2.8424+0.012259i,2.8868-0.10231i,0.98723-0.012297i,1.0095+0.03664i
2.8472+0.0092039i,2.8833-0.1012i,0.98389-0.013503i,1.0081+0.032681i
2.8479+0.0081441i,2.8881-0.10072i,0.9851-0.011823i,1.0094+0.033634i
2.8447+0.013592i,2.8831-0.10575i,0.98642-0.014942i,1.0108+0.033311i
